manufacturer,permit_number,vin_number,is_operatable_without_driver,driver_present,is_disengaged_by,disengaged_location,disengagement_reason,date
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",3/4/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the laneConditions: Non-inclement weather, dry roads, no other factors involved",3/16/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the laneConditions: Non-inclement weather, dry roads, no other factors involved",3/16/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",3/16/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.Conditions: Non-inclement weather, dry roads, no other factors involved",4/2/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the laneConditions: Non-inclement weather, dry roads, no other factors involved",4/2/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",4/13/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",4/14/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",4/16/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.Conditions: Non-inclement weather, dry roads, no other factors involved",4/16/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",4/16/2021
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the laneConditions: Non-inclement weather, dry roads, no other factors involved",4/19/2021
