manufacturer,permit_number,vin_number,total_disengagements,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,July 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,total_miles
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,57.0,0.0,0.0,0.0,77.0,416.0,385.0,542.0,254.0,138.0,15.0,0.0,0.0,1827.0
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,177.0,890.0,1149.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,338.2,26.6,184.2,75.1,123.7,82.2,830 .04
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.4,120.7,121.1,114.3,637.5
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APPLE INC.,AVT030,2T2BGMCA0GC007400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,13.0,30.0
APPLE INC.,AVT030,2T2BGMCA0HC014753,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
APPLE INC.,AVT030,2T2BGMCA0HC016082,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
