manufacturer,permit_number,vin_number,total_disengagements,total_miles,month,miles,month_id,year,disengagements,cumsum_mile,cumsum_disengagements
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,49.0,1149.0,Dec 2020,0.0,2020-12-01,2020,0.0,0.0,0.0
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,57.0,1827.0,Dec 2020,0.0,2020-12-01,2020,0.0,0.0,0.0
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,49.0,1149.0,Jan 2021,0.0,2021-01-01,2021,0.0,0.0,0.0
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,57.0,1827.0,Jan 2021,0.0,2021-01-01,2021,0.0,0.0,0.0
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,49.0,1149.0,Feb 2021,0.0,2021-02-01,2021,0.0,0.0,0.0
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,57.0,1827.0,Feb 2021,0.0,2021-02-01,2021,0.0,0.0,0.0
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,49.0,1149.0,Mar 2021,0.0,2021-03-01,2021,0.0,0.0,0.0
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,57.0,1827.0,Mar 2021,77.0,2021-03-01,2021,4.0,77.0,4.0
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,49.0,1149.0,Apr 2021,0.0,2021-04-01,2021,0.0,77.0,4.0
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,57.0,1827.0,Apr 2021,416.0,2021-04-01,2021,21.0,493.0,25.0
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,49.0,1149.0,May 2021,0.0,2021-05-01,2021,0.0,493.0,25.0
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,57.0,1827.0,May 2021,385.0,2021-05-01,2021,14.0,878.0,39.0
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,49.0,1149.0,Jun 2021,0.0,2021-06-01,2021,0.0,878.0,39.0
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,57.0,1827.0,Jun 2021,542.0,2021-06-01,2021,16.0,1420.0,55.0
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,49.0,1149.0,July 2021,0.0,2021-07-01,2021,0.0,1420.0,55.0
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,57.0,1827.0,July 2021,254.0,2021-07-01,2021,2.0,1674.0,57.0
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,49.0,1149.0,Aug 2021,0.0,2021-08-01,2021,0.0,1674.0,57.0
